id1,text1,id2,text2,text_similarity_score,entity_similarity_score,date_difference,pair_id,label,confidence,needs_human_review,evaluator_verdict,final_label
nifty_608,"Fed says internal site breached by hackers, no critical functions affected",nifty_609,"Fed says internal site breached by hackers, no critical functions affected",1.000001,1.0,1,5579abfa5baa942a8e948afe5e4e5d9e,True,5.0,False,,True
nifty_708,Developer favorite Digital Ocean nabs $3.2M for its cloud hosting service,nifty_709,Developer favorite Digital Ocean nabs $3.2M for its cloud hosting service,1.0000008,1.0,1,2853811af07ab9e677aadeea37930b0c,True,5.0,False,,True
nifty_767,Arbor Networksâ Arabella Hallawell to Speak at the FS-ISAC Fall Summit on âHow the New DDoS Attacks Are Changing the Way Financial Services Companies Defend Their Uptimeâ,nifty_768,Arbor Networksâ Arabella Hallawell to Speak at the FS-ISAC Fall Summit on âHow the New DDoS Attacks Are Changing the Way Financial Services Companies Defend Their Uptimeâ,1.0000005,1.0,1,f7e72a5553e1f923b345eb6052acb88f,True,5.0,False,,True
nifty_444, Trustwave Named a Leader in Managed Security Services by Independent Research Firm,nifty_966,Trustwave Named a Leader in Managed Security Services by Independent Research Firm,1.0000004,1.0,971,19e44c4f41881fdeab3f12e0a269920d,True,5.0,False,,True
nifty_612,"Zscaler Delivers ""Big Visibility"" Security Analytics for Real-Time Insight Into Global Cloud, Web, Mobile Traffic",nifty_614,"Zscaler Delivers ""Big Visibility"" Security Analytics for Real-Time Insight into Global Cloud, Web, Mobile Traffic",1.0000004,1.0,2,1781614d7f9ff3106f2d45d84f6fce5c,True,5.0,False,,True
nifty_499,Microsoft Awards Top-Performing Partners at Microsoft Worldwide Partner Conference,nifty_691,Microsoft awards top-performing partners at Microsoft Worldwide Partner Conference,1.0000004,0.8333333333333334,363,6a6682a700097fd903f7f2d4e60ce94f,True,5.0,False,,True
nifty_53, Security Solutions Discussed by Industry Leaders in SecurityStockWatch.com Interviews,nifty_134, Security Solutions Discussed by Industry Leaders in SecurityStockWatch.com Interviews,1.0000002,1.0,147,2836ff61f693caa08fef0744f89740ec,True,5.0,False,,True
nifty_545,Governor Corbett Proclaims October as 'Cyber Security Awareness Month',nifty_935,Governor Corbett Proclaims October as 'Cyber Security Awareness Month',1.0000002,1.0,729,029f767aadcb14cc6f3406cbcc4dd776,True,5.0,False,,True
nifty_166,Research and Markets: 3Q.2010 North America Handset Market Share and Forecast: Mobile Handset Shipments in North America to rise to 182.6 million in 2011,nifty_214,Research and Markets: 3Q.2010 North America Handset Market Share and Forecast: Mobile Handset Shipments in North America to rise to 182.6 million in 2011,1.0000001,1.0,91,b5af1d6424cd928040a20121df9af4a8,True,5.0,False,,True
nifty_219,Factbox: Security developments in Pakistan,nifty_352,Factbox: Security developments in Pakistan,1.0000001,1.0,243,40b38c7ee348b89641dfe77b2c03aa2c,True,5.0,False,,True
nifty_739,U.S. opposes tech companies' request to reveal spying demands,nifty_740,U.S. opposes tech companies' request to reveal spying demands,1.0000001,1.0,1,d09a83af67082b781cfffb4f96067e11,True,5.0,False,,True
nifty_834,Exact Partners with Data Masons to Offer Leading EDI Solutions to Its Exact Macola Customers,nifty_838,Exact Partners with Data Masons to Offer Leading EDI Solutions to Its Exact Macola Customers,1.0000001,1.0,7,dfbf9952f98f5ff1b6033c65e045d5ec,True,5.0,False,,True
nifty_904,U.S. Homeland Security contractor reports computer breach,nifty_905,U.S. Homeland Security contractor reports computer breach,1.0000001,1.0,1,1a193fbeabe34af2757a5782d0cc1166,True,5.0,False,,True
